"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 19 09:50:26 CDT 2022","Mon Sep 19 09:50:26 CDT 2022","671","","Login: Verify login fields are enabled by default","","Login: Verify login fields are enabled by default","Given I am on facebook landing page","Given I am on facebook landing page",""
"passed","Mon Sep 19 09:50:27 CDT 2022","Mon Sep 19 09:50:27 CDT 2022","33","","Login: Verify login fields are enabled by default","","Login: Verify login fields are enabled by default","Then I verify login username field is enabled","Then I verify login username field is enabled",""
"passed","Mon Sep 19 09:50:27 CDT 2022","Mon Sep 19 09:50:27 CDT 2022","25","","Login: Verify login fields are enabled by default","","Login: Verify login fields are enabled by default","And I verify login password field is enabled","And I verify login password field is enabled",""
"passed","Mon Sep 19 09:50:26 CDT 2022","Mon Sep 19 09:50:26 CDT 2022","36","","Login: Verify login fields are enabled by default","","Login: Verify login fields are enabled by default","And I verify login password field is enabled","And I verify login password field is enabled",""
"passed","Mon Sep 19 09:50:26 CDT 2022","Mon Sep 19 09:50:26 CDT 2022","60","","Login: Verify login fields are enabled by default","","Login: Verify login fields are enabled by default","Then I verify login username field is enabled","Then I verify login username field is enabled",""
"passed","Mon Sep 19 09:50:26 CDT 2022","Mon Sep 19 09:50:26 CDT 2022","41","","Login: Verify login fields are enabled by default","","Login: Verify login fields are enabled by default","And I verify login button field is enabled","And I verify login button field is enabled",""
"passed","Mon Sep 19 09:50:27 CDT 2022","Mon Sep 19 09:50:27 CDT 2022","1","","Login: Verify login fields are enabled by default","","Login: Verify login fields are enabled by default","","",""
"passed","Mon Sep 19 09:50:26 CDT 2022","Mon Sep 19 09:50:26 CDT 2022","0","","Login: Verify login fields are enabled by default","","Login: Verify login fields are enabled by default","","",""
"passed","Mon Sep 19 09:50:27 CDT 2022","Mon Sep 19 09:50:27 CDT 2022","20","","Login: Verify login fields are enabled by default","","Login: Verify login fields are enabled by default","And I verify login button field is enabled","And I verify login button field is enabled",""
"passed","Mon Sep 19 09:50:26 CDT 2022","Mon Sep 19 09:50:27 CDT 2022","702","","Login: Verify login fields are enabled by default","","Login: Verify login fields are enabled by default","Given I am on facebook landing page","Given I am on facebook landing page",""
